libmm-glib 1.22.0-1
libmng 2.0.3-3
libmnl 1.0.5-2
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-4
libmpeg2 0.5.1-8
libmspub 0.1.4-15
libmwaw 0.3.22-1
libmypaint 1.6.1-1
libmysofa 1.3.2-1
libnautilus-extension 46.0-1
libnbd 1.18.2-2
libnetfilter_conntrack 1.0.9-2
libnetfilter_queue 1.0.5-1
libnfnetlink 1.0.2-2
libnfs 5.0.3-1
libnftnl 1.2.6-1
libnghttp2 1.60.0-1
libnghttp3 1.2.0-1
libnice 0.1.22-1
libnl 3.9.0-1
libnm 1.46.0-2
libnotify 0.8.3-1
libnsbmp 0.1.7-1
libnsgif 1.0.0-1
libnsl 2.0.1-1
libnss_nis 3.2-1
libnsutils 0.1.1-1
libnumbertext 1.0.11-1
libodfgen 0.1.8-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.6-1
liborcus 0.19.2-1
libosinfo 1.11.0-1
libp11-kit 0.25.3-1
libpagemaker 0.0.4-3
libpaper 2.2.5-1
libparserutils 0.2.5-1
libpcap 1.10.4-1
libpciaccess 0.18.1-1
libpeas 1.36.0-4
libpipeline 1.5.7-2
libpipewire 1:1.0.4-3
libplacebo 6.338.2-2
libplist 2.4.0-1
libpng 1.6.43-1
libportal 0.7.1-2
libportal-gtk3 0.7.1-2
libportal-gtk4 0.7.1-2
libppd 2.0.0-1
libproxy 0.5.4-1
libpsl 0.21.2-1
libpulse 17.0-3
libqalculate 5.0.0-2
libqxp 0.0.2-11
libraqm 0.10.1-1
libraw 0.21.2-1
libraw1394 2.1.2-3
libreoffice-still 7.6.6-1
librevenge 0.0.5-2
librsvg 2:2.58.0-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.5-2
libsecret 0.21.4-1
libshout 1:2.4.6-2
libsidplay 1.36.59-10
libsigc++ 2.12.1-1
libslirp 4.7.0-1
libsm 1.2.4-1
libsndfile 1.2.2-2
libsodium 1.0.19-3
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-3
libspectmorph 0.6.1-1
libspeechd 0.11.5-1
libspiro 1:20221101-2
libspnav 1.1-1
libsrtp 1:2.6.0-1
libssh 0.10.6-2
libssh2 1.11.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsvgtiny 0.1.8-1
libsysprof-capture 46.0-1
libtar 1.2.20-7
libtasn1 4.19.0-1
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-2
libtiff4 3.9.7-5
libtirpc 1.3.4-1
libtommath 1.2.1-1
libtool 2.4.7+4+g1ec8fa28-7
libtorrent-rasterbar 1:2.0.9-3
libtpms 0.9.6-1
libtraceevent 1:1.8.2-1
libtracefs 1.8.0-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-1
libupnp 1.14.18-1
liburcu 0.14.0-1
liburing 2.5-1
libusb 1.0.27-1
libusbmuxd 2.0.2-3
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.48.0-1
libva 2.21.0-1
libvdpau 1.5-2
libverto 0.3.2-5
libvirt 1:10.1.0-2
libvirt-glib 5.0.0-1
libvirt-python 1:10.1.0-1
libvisio 0.1.7-10
libvorbis 1.3.7-3
libvpl 2.10.2-1
libvpx 1.14.0-1
libwacom 2.10.0-1
libwapcaplet 0.4.3-3
libwbclient 4.20.0-1
libwebp 1.3.2-1
libwebsockets 4.3.3-1
libwireplumber 0.5.0-2
libwmf 0.2.13-1
libwnck3 43.0-3
libwpd 0.10.3-4
libwpe 1.16.0-1
libwpg 0.3.4-1
libwps 0.4.14-1
libx11 1.8.8-2
libxau 1.0.11-2
libxaw 1.0.16-1
libxcb 1.16.1-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.2-1
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.5-1
libxdp 1.4.2-1
libxext 1.3.6-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.7.0-1
libxkbcommon-x11 1.7.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.12.6-1
libxmlb 0.3.15-1
libxmu 1.2.0-1
libxpm 3.5.17-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxvmc 1.0.14-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzmf 0.0.2-15
licenses 20240206-1
lilv 0.24.24-1
linux 6.8.2.arch2-1
linux-api-headers 6.7-1
linux-firmware 20240312.3b128b60-1
linux-firmware-whence 20240312.3b128b60-1
linux-rt 6.7.0.6.realtime1-1
liquidsfz 0.3.2-1
liquidsfz-lv2 0.3.2-1
liquidsfz-standalone 0.3.2-1
litehtml 0.9-1
lld 17.0.6-1
llvm 17.0.6-2
llvm-libs 17.0.6-2
llvm15-libs 15.0.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.32-1
localsend-bin 1.13.1-1
log4cplus 2.1.0-1
lpsolve 5.5.2.11-2
lshw B.02.20-1
lsof 4.99.3-2
lsp-plugins 1.2.15-1
lsp-plugins-clap 1.2.15-1
lsp-plugins-ladspa 1.2.15-1
lsp-plugins-lv2 1.2.15-1
lsp-plugins-standalone 1.2.15-1
lsp-plugins-vst 1.2.15-1
lua 5.4.6-3
lua52 5.2.4-6
luajit 2.1.1702233742-1
luit 20240102-1
lv2 1.18.10-1
lv2file 0.95-2
lxmenu-data 0.1.5-3
lynx 2.9.0-2
lz4 1:1.9.4-3
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.0-1
materialx 1.38.9-1
md4c 0.5.2-1
menu-cache 1.1.0-4
mesa 1:24.0.3-2
midi_matrix.lv2 0.30.0-3
midimsg-lv2 0.0.5-2
mingw-w64-binutils 2.39-1
mingw-w64-crt 11.0.0-1
mingw-w64-gcc 13.1.0-1
mingw-w64-headers 11.0.0-1
mingw-w64-winpthreads 11.0.0-1
minizip 1:1.3.1-1
minizip-ng 4.0.5-1
mjpegtools 2.2.1-2
mkinitcpio 38.1-1
mkinitcpio-busybox 1.36.1-1
mpdecimal 4.0.0-2
mpfr 4.2.1-2
mpg123 1.32.5-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
multipath-tools 0.9.8-1
mypaint-brushes1 1.3.1-1
ncurses 6.4_20230520-1
ndctl 78-1
neon 0.33.0-1
net-snmp 5.9.4-2
netpbm 10.86.40-2
netsurf 3.11-7
nettle 3.9.1-1
newsboat 2.35-1
ninja 1.11.1-3
ninjas2 0.2.0-3
ninjas2-lv2 0.2.0-3
ninjas2-standalone 0.2.0-3
ninjas2-vst 0.2.0-3
nmap 7.94-2
node-gyp 10.1.0-1
nodejs-lts-hydrogen 18.18.2-2
nodejs-nopt 7.2.0-1
noto-fonts 1:24.3.1-1
noto-fonts-emoji 1:2.042-1
npm 10.5.0-1
npth 1.7-1
nspr 4.35-2
nss 3.99-1
ntk 1.3.1001-2
numactl 2.0.18-1
nvm 0.39.2-1
ocl-icd 2.3.2-1
octave 8.4.0-3
onetbb 2021.11.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencl-headers 2:2023.04.17-2
opencollada 1:1.6.68-3
opencolorio 2.3.1-2
opencore-amr 0.1.6-1
openexr 3.2.4-1
openimagedenoise 2.2.1-1
openimageio 2.5.9.0-1
openjpeg2 2.5.2-1
openmpi 5.0.2-7
openpgl 0.6.0-1
openpmix 4.2.9-1
openshadinglanguage 1.13.7.0-3
opensnitch 1.6.4-1
openssh 9.7p1-1
openssl 3.2.1-1
openssl-1.1 1.1.1.w-1
opensubdiv 3.6.0-1
openucx 1.15.0-2
openvdb 11.0.0-1
openxr 1.0.33-1
opus 1.5.1-1
orc 0.4.38-1
orca 46.0-1
osinfo-db 20231215-1
p11-kit 0.25.3-1
p7zip 1:17.05-2
pacman 6.1.0-3
pacman-contrib 1.10.5-1
pacman-mirrorlist 20231001-1
padthv1 0.9.34-1
padthv1-lv2 0.9.34-1
padthv1-standalone 0.9.34-1
pam 1.6.0-4
pambase 20230918-1
pamixer 1.6-3
pango 1:1.52.1-1
pangomm 2.46.4-1
parted 3.6-1
patch 2.7.6-10
patchmatrix 0.26.0-2
pciutils 3.11.1-1
pcmanfm 1.3.2-1
pcre 8.45-4
pcre2 10.43-1
pd 0.54.1-1
pd-sfizz 1.2.3-3
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phodav 3.0-2
pinentry 1.2.1-3
pipewire 1:1.0.4-3
pipewire-alsa 1:1.0.4-3
pipewire-audio 1:1.0.4-3
pipewire-jack 1:1.0.4-3
pipewire-pulse 1:1.0.4-3
pixman 0.43.4-1
pkgconf 2.1.1-1
polkit 124-2
poppler 24.03.0-1
poppler-data 0.4.12-1
poppler-glib 24.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
portmidi 1:2.0.4-1
postman-bin 10.15.0-1
potrace 1.16-3
procps-ng 4.0.4-3
protobuf 25.3-3
prrte 3.0.5-1
psmisc 23.7-1
ptex 2.4.2-2
pugixml 1.14-1
pybind11 2.12.0-1
pyside2 5.15.13-1
pyside6 6.6.2-2
pystring 1.1.4-1
python 3.11.8-1
python-annotated-types 0.6.0-1
python-appdirs 1.4.4-9
python-argcomplete 2.0.0-2
python-atspi 2.46.1-1
python-autocommand 2.2.2-4
python-awscrt 0.19.19-1
python-bcrypt 4.1.2-1
python-beautifulsoup4 4.12.3-1
python-cachecontrol 1:0.14.0-2
python-cairo 1.26.0-1
python-certifi 2024.02.02-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-colorama 0.4.6-2
python-coverage 7.4.1-1
python-cryptography 42.0.5-1
python-cssselect 1.2.0-4
python-dateutil 2.9.0-3
python-distro 1.9.0-1
